"gene","module"
"DUOXA2","brown"
"UBD","turquoise"
"PWWP3B","blue"
"COL12A1","turquoise"
"PLIN5","blue"
"PHGR1","yellow"
"MT1H","blue"
"LOC100132154","brown"
"ITGA2","brown"
"SNORA50C","red"
"KRT23","turquoise"
"SIM1","blue"
"LOC112268252","brown"
"MIR3606","turquoise"
"RPS29","blue"
"CXCL12","blue"
"BACE1","blue"
"SLC6A19","magenta"
"IYD","yellow"
"PRAP1","yellow"
"LOC105375087","blue"
"FXYD6-FXYD2","blue"
"IFI27","brown"
"GRPR","blue"
"BNIP5","yellow"
"CDH11","turquoise"
"F8","blue"
"SNORD10","red"
"SNORA57","red"
"GPA33","yellow"
"CCN4","turquoise"
"MGAM2","yellow"
"SLC9A2","yellow"
"CDR1","green"
"PSAT1","blue"
"LRRC31","yellow"
"GYS2","blue"
"MKI67","brown"
"SLC38A3","blue"
"SNORA63","red"
"FUT9","blue"
"CCDC141","blue"
"MT-TC","grey"
"UGT2B7","yellow"
"SMIM24","yellow"
"ATP4A","blue"
"CCL20","brown"
"ONECUT2","yellow"
"SLC16A10","blue"
"IGKV1-9","purple"
"AREG","brown"
"CHRM3","blue"
"HCG21","yellow"
"EREG","greenyellow"
"LAMA3","brown"
"LINC00671","blue"
"SERPINB3","greenyellow"
"SNORA7B","red"
"ADAM12","turquoise"
"SPARC","turquoise"
"IGLV2-23","purple"
"IGKJ4","purple"
"KCNK3","blue"
"TMEM97","blue"
"IGKV4-1","purple"
"LOC105369165","blue"
"MAT1A","blue"
"TMEM52","blue"
"SERPINA3","blue"
"PRKY","grey"
"FAP","turquoise"
"TDH","blue"
"EPB41L4B","blue"
"CPS1","magenta"
"LTF","blue"
"ADAM7","blue"
"MMP28","brown"
"FAM83A","greenyellow"
"MT1M","black"
"SERPINA1","yellow"
"ACTA2-AS1","turquoise"
"H2AC13","brown"
"NUPR1","blue"
"ITLN1","salmon"
"SYBU","blue"
"IGHV3-48","purple"
"LINC01133","yellow"
"IGLL5","purple"
"APOA1","magenta"
"CNPY3-GNMT","blue"
"CLRN3","yellow"
"ANXA13","yellow"
"112268430","turquoise"
"ACTG2","green"
"LOC285191","blue"
"ARMC3","blue"
"LOC105370221","blue"
"GPR35","yellow"
"LINC01614","turquoise"
"MT1X","black"
"SNORD3C","red"
"SCGN","pink"
"MT2A","black"
"CENPF","brown"
"MEDAG","turquoise"
"F5","yellow"
"SCD","turquoise"
"MTMR11","brown"
"SMIM31","yellow"
"ESRRG","blue"
"IGHV3-23","purple"
"LOC105370928","blue"
"VNN1","yellow"
"SNORD3B-2","red"
"LINC01152","blue"
"CDK1","brown"
"MT-ATP8","cyan"
"CYP2S1","yellow"
"MFAP5","turquoise"
"G6PC2","pink"
"LINC01624","blue"
"TRHDE-AS1","blue"
"SNORA7A","red"
"SNORA52","red"
"IGFBP5","turquoise"
"SLC7A11","red"
"UGT1A6","brown"
"SLC7A2","blue"
"HEPH","brown"
"SERPINA4","blue"
"OLFML2B","turquoise"
"IGLC1","purple"
"KYNU","turquoise"
"MALL","brown"
"CA2","magenta"
"LMO3","blue"
"SERPINB2","turquoise"
"GPR87","greenyellow"
"RARRES1","brown"
"FREM1","blue"
"KRT13","greenyellow"
"CDHR5","yellow"
"ACSL5","yellow"
"PROX1","blue"
"APOBEC1","yellow"
"NTM","turquoise"
"CLDN10","blue"
"CRIP1","brown"
"C18orf61","blue"
"SNORA79B","red"
"LGALS2","blue"
"IGHV3-33","purple"
"KIF26B","turquoise"
"ASPM","brown"
"CAPN9","yellow"
"APOC1","turquoise"
"IGKJ1","purple"
"HEPACAM2","salmon"
"SEMA3C","turquoise"
"H3C3","brown"
"ALPI","magenta"
"BGN","turquoise"
"COL7A1","greenyellow"
"GAMT","blue"
"CSKMT","red"
"MFSD2A","brown"
"B3GNT6","yellow"
"A1CF","blue"
"ZG16B","yellow"
"RRM2","brown"
"RNU5B-1","red"
"PLAU","turquoise"
"RYR2","blue"
"TGFBI","brown"
"HS3ST1","brown"
"UGT1A1","brown"
"MMP3","brown"
"AQP5","yellow"
"CCL24","brown"
"BEX1","blue"
"OASL","brown"
"LEFTY1","blue"
"ANTXR1","turquoise"
"IGKJ2","purple"
"UGT2B17","magenta"
"GDA","yellow"
"APOL1","brown"
"CCDC80","turquoise"
"KCNJ5","blue"
"H3C2","brown"
"ABCA13","brown"
"PTGIS","turquoise"
"IGFL2","turquoise"
"FLNC","turquoise"
"TP63","greenyellow"
"ABAT","blue"
"LGALS3","brown"
"CHRDL1","green"
"CILP","turquoise"
"C3","turquoise"
"GCAT","blue"
"PRLR","blue"
"GPNMB","turquoise"
"SNORD3D","red"
"CA12","blue"
"SLC38A5","blue"
"RBP2","magenta"
"HMOX1","black"
"SLC13A2","magenta"
"FOXL1","brown"
"PTGS2","turquoise"
"HOPX","turquoise"
"KLF5","brown"
"SNORD94","red"
"GRB14","blue"
"CD109","turquoise"
"CKS2","brown"
"HSPA1B","black"
"MT-ND3","cyan"
"H3C15","brown"
"H3C14","brown"
"TNXB","green"
"LOC105376938","greenyellow"
"COL6A3","turquoise"
"SNORD3B-1","red"
"ACE2","magenta"
"LOC107985244","blue"
"IGHV4-59","purple"
"TNFRSF11B","brown"
"IL1RN","brown"
"BMAL2","brown"
"MT-ND1","cyan"
"NR4A1","black"
"ADAMTS4","turquoise"
"NRP2","turquoise"
"LOC105369608","blue"
"MT-ATP6","cyan"
"LPL","green"
"DDC","blue"
"CHAC1","blue"
"COL10A1","turquoise"
"HBA2","black"
"OAS1","brown"
"LOC101929124","blue"
"IGHV3-74","purple"
"IGHV3-21","purple"
"CLU","blue"
"GGT6","blue"
"IGLJ2","purple"
"IGHV3-30","purple"
"MTRNR2L8","cyan"
"MGAM","magenta"
"NPY1R","blue"
"KCNN4","brown"
"LEMD1","brown"
"MALRD1","yellow"
"TACSTD2","turquoise"
"TRIM15","yellow"
"SNORA48","red"
"NOX4","turquoise"
"ANOS1","turquoise"
"LRRC15","turquoise"
"SARDH","blue"
"CHST9","blue"
"SDC1","brown"
"STYK1","brown"
"MIA","brown"
"LOC105375539","blue"
"NUCB2","blue"
"IGKV2-28","purple"
"LINC01610","blue"
"ASPN","turquoise"
"PROM1","grey"
"ABCC8","pink"
"LEF1","turquoise"
"NNMT","turquoise"
"LPAR3","blue"
"MT-TY","grey"
"HSPA1A","black"
"USH1C","yellow"
"LINC01754","blue"
"PAH","blue"
"VIPR2","blue"
"ATP10B","yellow"
"SLC15A1","magenta"
"CTSK","turquoise"
"MIR31HG","brown"
"AKR7A3","magenta"
"GLP1R","blue"
"CRABP2","greenyellow"
"CR2","turquoise"
"LUM","turquoise"
"MS4A8","yellow"
"NPC1L1","yellow"
"KLK10","brown"
"KCNK1","yellow"
"IL6","black"
"TPX2","brown"
"SERPINE1","turquoise"
"PRRX1","turquoise"
"NIBAN1","blue"
"JPT1","brown"
"IGKJ3","purple"
"RIMS1","blue"
"SEMA7A","brown"
"CXCL17","grey"
"RN7SL3","blue"
"GMNN","blue"
"MDK","brown"
"LOC107986324","blue"
"TFPI2","blue"
"HBB","black"
"CYP1B1","turquoise"
"ANXA1","turquoise"
"DPYSL3","turquoise"
"FBN1","turquoise"
"NR1I2","yellow"
"HOXA13","brown"
"DAZ1","grey"
"IGKV1-39","purple"
"TNFAIP6","turquoise"
"HK2","brown"
"RBP1","blue"
"LOC105374786","blue"
"CLDN2","yellow"
"EDIL3","turquoise"
"EDNRA","turquoise"
"CEACAM7","brown"
"TDH-AS1","blue"
"F13A1","turquoise"
"AEBP1","turquoise"
"LINC01238","blue"
"CEACAM1","yellow"
"FOLH1","magenta"
"PGGHG","blue"
"CYP4F3","brown"
"KLK6","brown"
"IGF1","turquoise"
"MGP","turquoise"
"HBA1","black"
"WFDC2","brown"
"SCTR-AS1","blue"
"KRT15","greenyellow"
"GOLGA8B","blue"
"FGFBP1","brown"
"FER1L4","brown"
"MAD2L1","brown"
"SLC22A3","brown"
"HSPA6","black"
"SNORA46","red"
"SLC28A2","magenta"
"ITGB4","brown"
"H2AC11","brown"
"IGHV1-18","purple"
"SEMA3A","turquoise"
"CCL2","green"
"CHP2","magenta"
"FUT1","blue"
"DAZ4","grey"
"ALKAL2","blue"
"NEK2","brown"
"TIMP1","turquoise"
"EPSTI1","turquoise"
"MYCL","blue"
"FCGR3A","turquoise"
"APOC3","magenta"
"SCGB3A1","grey"
"G0S2","turquoise"
"PTPRN","pink"
"LINC03141","blue"
"BTNL8","yellow"
"RGS2","blue"
"RAB31","turquoise"
"SDCBP2","yellow"
"ANKS4B","yellow"
"MEP1B","magenta"
"ITGA3","greenyellow"
"IGHV4-39","purple"
"SCARA5","green"
"ARHGDIG","blue"
"MYL9","turquoise"
"DAZ2","grey"
"PLAT","turquoise"
"LOC105376917","blue"
"IGHV3-72","purple"
"TRI-AAT2-1","black"
"AADAC","magenta"
"KCNJ15","blue"
"RBM20","blue"
"ADAMTS2","turquoise"
"DAZ3","grey"
"STC2","blue"
"GJB3","brown"
"DEFB1","blue"
"KRT7","turquoise"
"SNORA20","red"
"ADH1C","magenta"
